4,6,11,360
4,7,14,90
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,8,12,0
0,8,13,0
0,9,7,0
10,9,8,0
3,9,9,0
3,9,10,0
3,9,11,0
2,9,12,0
6,9,13,0
0,10,7,0
9,10,8,0
2,10,9,0
2,10,10,0
2,10,11,0
5,10,12,0
6,10,13,0
0,10,15,0
0,11,7,0
10,11,8,0
3,11,9,0
3,11,10,0
3,11,11,0
10,11,12,0
6,11,13,0
0,12,7,0
2,12,8,0
9,12,9,0
2,12,10,0
2,12,11,0
1,12,12,0
0,12,13,0
0,12,15,0
0,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
10,13,11,0
2,13,12,0
0,13,13,0
0,14,7,0
8,14,8,0
8,14,9,0
8,14,10,0
2,14,11,0
2,14,12,0
0,14,13,0
0,14,15,0
0,15,7,0
7,15,8,0
2,15,9,0
2,15,10,0
2,15,11,0
2,15,12,0
0,15,13,0
0,15,15,0
0,16,7,0
8,16,8,0
8,16,9,0
8,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
9,17,12,0
9,17,13,0
0,17,15,0
